20,20,8.055972,15.888834
20,28,7.973108,16.053966
20,28,15.879352,15.743715
1,28,17.545716,0.911904
20,1,1.065676,15.013945
20,2,1.056338,15.146666
20,3,1.055656,15.156453
20,4,1.059790,15.097332
20,5,1.056261,15.147774
20,6,1.054780,15.169040
20,7,1.079307,14.824329
20,8,1.058390,15.117302
20,9,1.061318,15.075592
20,10,1.064535,15.030038
20,11,1.058401,15.117142
20,12,1.055529,15.158274
20,13,1.064543,15.029924
20,14,1.056959,15.137769
20,15,1.056222,15.148331
20,16,1.057061,15.136308
20,17,1.054356,15.175142
20,18,1.059025,15.108236
20,19,1.056829,15.139630
20,20,1.070279,14.949371
20,21,1.055167,15.163477
20,22,1.064720,15.027426
20,23,1.134013,14.109186
20,24,1.054207,15.177284
20,25,1.055703,15.155775
20,26,1.056172,15.149046
20,27,1.057939,15.123745
20,28,1.055449,15.159425
1,28,17.472040,0.915749
2,28,8.893015,1.799165
4,28,4.531750,3.530645
5,28,3.739279,4.278900
8,28,2.519519,6.350419
10,28,2.000056,7.999776
16,28,1.296756,12.338481
20,28,1.053684,15.184818
20,28,7.986103,16.027842
40,28,10.449025,12.249947
20,28,7.975849,16.048448
20,2,0.217068,0.000074
20,2,16.048099,0.997003
20,10,3.298022,0.000005
20,10,24.997754,0.000640
