1,2048,155.237914,0.110668
4,2048,115.531129,0.148703
16,2048,109.174080,0.157362
16,512,0.909153,0.295259
16,256,0.113639,0.295272
4,256,0.117493,0.285587
4,512,1.141507,0.235159
16,512,0.915104,0.293339
16,256,0.104624,0.320714
4,256,0.094404,0.355434
4,256,0.130609,0.256908
4,256,0.118231,0.283804
4,256,0.117968,0.284437
4,256,0.097726,0.343352
4,512,0.972067,0.276149
1,256,0.140752,0.238394
1,512,1.743971,0.153922
1,1024,17.317826,0.124004
1,2048,138.341674,0.124184
1,2048,0.023966,716.843411
1,4096,2567.622035,0.053528
4,256,0.045031,0.745141
4,512,0.356400,0.753186
4,1024,3.413674,0.629083
4,2048,27.111756,0.633669
